Manufacturer,Model Name,Model Code,Model Number,Sub-model Name,Sub-model Code,Sub-model Number,Grade Name,Grade Number
현대,i30,1131,480,i30 (PD) (16년~현재),2845,107,i30 (PD) (16년~현재),107
현대,i30,1131,480,i30 (PD) (16년~현재),2845,107,1.4 터보,34
현대,i30,1131,480,i30 (PD) (16년~현재),2845,107,튜너 패키지,0
현대,i30,1131,480,i30 (PD) (16년~현재),2845,107,스마트,7
현대,i30,1131,480,i30 (PD) (16년~현재),2845,107,모던,10
현대,i30,1131,480,i30 (PD) (16년~현재),2845,107,프리미엄,4
현대,i30,1131,480,i30 (PD) (16년~현재),2845,107,스타일,13
현대,i30,1131,480,i30 (PD) (16년~현재),2845,107,1.6 터보,57
현대,i30,1131,480,i30 (PD) (16년~현재),2845,107,스포츠,5
현대,i30,1131,480,i30 (PD) (16년~현재),2845,107,스포츠 프리미엄,33
현대,i30,1131,480,i30 (PD) (16년~현재),2845,107,N Line,19
현대,i30,1131,480,i30 (PD) (16년~현재),2845,107,디젤 1.6,16
현대,i30,1131,480,i30 (PD) (16년~현재),2845,107,스마트,5
현대,i30,1131,480,i30 (PD) (16년~현재),2845,107,모던,6
현대,i30,1131,480,i30 (PD) (16년~현재),2845,107,프리미엄,5
현대,i30,1131,480,i30 (PD) (16년~현재),2845,107,더 뉴 i30 (15년~16년),41
현대,i30,1131,480,i30 (PD) (16년~현재),2845,107,i30(신형) (11년~15년),182
현대,i30,1131,480,i30 (PD) (16년~현재),2845,107,i30 (07년~11년),123
현대,i30,1131,480,i30 (PD) (16년~현재),2845,107,i30cw (08년~11년),27
현대,i30,1131,480,더 뉴 i30 (15년~16년),2666,41,i30 (PD) (16년~현재),107
현대,i30,1131,480,더 뉴 i30 (15년~16년),2666,41,더 뉴 i30 (15년~16년),41
현대,i30,1131,480,더 뉴 i30 (15년~16년),2666,41,1.6 VGT,24
현대,i30,1131,480,더 뉴 i30 (15년~16년),2666,41,유니크,1
현대,i30,1131,480,더 뉴 i30 (15년~16년),2666,41,PYL,23
현대,i30,1131,480,더 뉴 i30 (15년~16년),2666,41,TUIX,0
현대,i30,1131,480,더 뉴 i30 (15년~16년),2666,41,TUIX 블랙나이트,0
현대,i30,1131,480,더 뉴 i30 (15년~16년),2666,41,2.0 GDi,14
현대,i30,1131,480,더 뉴 i30 (15년~16년),2666,41,유니크,1
현대,i30,1131,480,더 뉴 i30 (15년~16년),2666,41,PYL,13
현대,i30,1131,480,더 뉴 i30 (15년~16년),2666,41,TUIX,0
현대,i30,1131,480,더 뉴 i30 (15년~16년),2666,41,TUIX 블랙나이트,0
현대,i30,1131,480,더 뉴 i30 (15년~16년),2666,41,2.0 GDi Dspec,3
현대,i30,1131,480,더 뉴 i30 (15년~16년),2666,41,i30(신형) (11년~15년),182
현대,i30,1131,480,더 뉴 i30 (15년~16년),2666,41,i30 (07년~11년),123
현대,i30,1131,480,더 뉴 i30 (15년~16년),2666,41,i30cw (08년~11년),27
현대,i30,1131,480,i30(신형) (11년~15년),1451,182,i30 (PD) (16년~현재),107
현대,i30,1131,480,i30(신형) (11년~15년),1451,182,더 뉴 i30 (15년~16년),41
현대,i30,1131,480,i30(신형) (11년~15년),1451,182,i30(신형) (11년~15년),182
현대,i30,1131,480,i30(신형) (11년~15년),1451,182,1.6 GDI,96
현대,i30,1131,480,i30(신형) (11년~15년),1451,182,유니크,13
현대,i30,1131,480,i30(신형) (11년~15년),1451,182,익스트림,43
현대,i30,1131,480,i30(신형) (11년~15년),1451,182,블루세이버,0
현대,i30,1131,480,i30(신형) (11년~15년),1451,182,PYL,39
현대,i30,1131,480,i30(신형) (11년~15년),1451,182,PYL TUIX,0
현대,i30,1131,480,i30(신형) (11년~15년),1451,182,TUIX 크래용,1
현대,i30,1131,480,i30(신형) (11년~15년),1451,182,TUIX 블랙라이트,0
현대,i30,1131,480,i30(신형) (11년~15년),1451,182,1.6 VGT,85
현대,i30,1131,480,i30(신형) (11년~15년),1451,182,유니크,22
현대,i30,1131,480,i30(신형) (11년~15년),1451,182,익스트림,26
현대,i30,1131,480,i30(신형) (11년~15년),1451,182,PYL,36
현대,i30,1131,480,i30(신형) (11년~15년),1451,182,PYL TUIX,0
현대,i30,1131,480,i30(신형) (11년~15년),1451,182,TUIX 크래용,0
현대,i30,1131,480,i30(신형) (11년~15년),1451,182,TUIX 블랙라이트,1
현대,i30,1131,480,i30(신형) (11년~15년),1451,182,2.0 GDi,0
현대,i30,1131,480,i30(신형) (11년~15년),1451,182,Younique,0
현대,i30,1131,480,i30(신형) (11년~15년),1451,182,PYL,0
현대,i30,1131,480,i30(신형) (11년~15년),1451,182,TUIX Black Light,0
현대,i30,1131,480,i30(신형) (11년~15년),1451,182,2.0 GDi Dspec,1
현대,i30,1131,480,i30(신형) (11년~15년),1451,182,Dspec M/T,1
현대,i30,1131,480,i30(신형) (11년~15년),1451,182,Dspec A/T,0
현대,i30,1131,480,i30(신형) (11년~15년),1451,182,TUIX,0
현대,i30,1131,480,i30(신형) (11년~15년),1451,182,i30 (07년~11년),123
현대,i30,1131,480,i30(신형) (11년~15년),1451,182,i30cw (08년~11년),27
현대,i30,1131,480,i30 (07년~11년),1173,123,i30 (PD) (16년~현재),107
현대,i30,1131,480,i30 (07년~11년),1173,123,더 뉴 i30 (15년~16년),41
현대,i30,1131,480,i30 (07년~11년),1173,123,i30(신형) (11년~15년),182
현대,i30,1131,480,i30 (07년~11년),1173,123,i30 (07년~11년),123
현대,i30,1131,480,i30 (07년~11년),1173,123,1.6 VVT,104
현대,i30,1131,480,i30 (07년~11년),1173,123,Trendy,3
현대,i30,1131,480,i30 (07년~11년),1173,123,Deluxe,10
현대,i30,1131,480,i30 (07년~11년),1173,123,Luxury,51
현대,i30,1131,480,i30 (07년~11년),1173,123,월드컵 스페셜에디션,0
현대,i30,1131,480,i30 (07년~11년),1173,123,Premier,36
현대,i30,1131,480,i30 (07년~11년),1173,123,Premier Brown Special,0
현대,i30,1131,480,i30 (07년~11년),1173,123,Extreme,4
현대,i30,1131,480,i30 (07년~11년),1173,123,Top Vip Pack,0
현대,i30,1131,480,i30 (07년~11년),1173,123,2.0 VVT,1
현대,i30,1131,480,i30 (07년~11년),1173,123,Luxury,1
현대,i30,1131,480,i30 (07년~11년),1173,123,Premier,0
현대,i30,1131,480,i30 (07년~11년),1173,123,Extreme,0
